selection_id,entry_id,projection_id,choice
b22fdd8e-5d09-48ab-93f5-35f376af32b8,76697445-4472-47c0-b9fd-d11b59fa3f65,b305f72c-a128-41c8-9ac9-928fcc185ac1,true
cf84c9a9-ec6b-46cc-b0e1-7e982a77f3f9,55dc990d-e5ec-4282-8697-22131149287b,03f7b444-5b2e-4843-bf14-4627577a936c,false
8f2beca2-cc4d-4add-a328-abf503d55f83,7cc76eb1-2d29-460a-8d78-fccd2f0326aa,a4248c6f-96a3-4f42-a582-fb167c669fbf,false
763bb6a3-011c-4311-83e1-22d1c790c8f5,81d43346-2d07-4413-a55f-f4e3c7e1ec92,bb746e6d-e650-4ce3-9146-4bba23badb1b,false
62d5e427-cf49-4307-b310-4e56bf9fa308,7b74555c-4d57-4f3c-96cd-efdb0c5838d9,0e76b2d2-effc-4318-be12-b7b58de73a3f,true
916bd369-1674-4322-bba8-eb33ca0d1620,3bc94c3b-9b36-4584-b3f1-647e80a986d6,0e76b2d2-effc-4318-be12-b7b58de73a3f,true
8f1b502b-4288-4b10-b5c6-4c0f21df0ab6,a7b51465-8372-4333-9d38-349e35999195,bb746e6d-e650-4ce3-9146-4bba23badb1b,true
9862626e-47d5-4b14-bee8-c0aa6980c531,ecbec5eb-1c6c-449e-9e68-4213d05709da,03f7b444-5b2e-4843-bf14-4627577a936c,true
e21a966c-eeae-4dde-a87e-941a1798e5d0,55dc990d-e5ec-4282-8697-22131149287b,28ae8d5a-9a85-4112-9dc3-18ec0cc7e5cd,true
f35ffe9b-0a40-46dd-9930-1b4cc1ab9f85,a7b51465-8372-4333-9d38-349e35999195,65548584-0ede-4972-8b77-6a1f5d6a1bcc,true
4472d188-8589-47eb-ae18-261c29c6abca,3e26dfd1-4426-4a1d-93a2-913b15a621c4,4f9684f9-2b23-45e3-b84e-6a031815b4fc,false
1d62ca87-ac55-4638-8480-e0e500fe70d4,ecbec5eb-1c6c-449e-9e68-4213d05709da,b7695534-df64-45dd-afde-42d45c11c7a9,false
58920b7c-1354-4b75-9bf9-74917698b2e7,55dc990d-e5ec-4282-8697-22131149287b,a4248c6f-96a3-4f42-a582-fb167c669fbf,false
30e2db9c-2155-4a94-b3f2-ea214f6b4853,a7b51465-8372-4333-9d38-349e35999195,7ef3eb71-3e5a-4e6e-a41e-c97119d89998,false
b34e7b33-63b0-4719-bcf1-1b76bd55100f,5df80f52-150d-41a9-924c-18e1b7079e1f,4f9684f9-2b23-45e3-b84e-6a031815b4fc,false
89c3c8ce-de24-4a46-a033-a25ad5f8d24e,a0c25fe3-890d-46b0-b193-519c441191aa,44bfe57d-a00e-45ce-b5e4-0034076bcc5a,false
3cf552f0-7cb9-4447-82b1-5ba936dc0830,76697445-4472-47c0-b9fd-d11b59fa3f65,a4248c6f-96a3-4f42-a582-fb167c669fbf,false
188bdf83-2a53-430a-9e91-e51c6119e782,3bc94c3b-9b36-4584-b3f1-647e80a986d6,7ef3eb71-3e5a-4e6e-a41e-c97119d89998,false
ac735072-7d21-47c6-920a-ef91149ea26e,a7b51465-8372-4333-9d38-349e35999195,65548584-0ede-4972-8b77-6a1f5d6a1bcc,true
efaf30e6-5932-432d-91df-2515c054c846,87cc472c-52b5-4203-828f-d550aba66e9e,4f9684f9-2b23-45e3-b84e-6a031815b4fc,true
990a2cd7-ad0c-4ee6-9fc2-36019c1da1ed,3e26dfd1-4426-4a1d-93a2-913b15a621c4,7ef3eb71-3e5a-4e6e-a41e-c97119d89998,false
19097778-e7a6-46b5-baf0-22cd25b25d7d,7b74555c-4d57-4f3c-96cd-efdb0c5838d9,a4248c6f-96a3-4f42-a582-fb167c669fbf,true
b54fe20e-1649-44e9-8962-8d2a5ad34036,ecbec5eb-1c6c-449e-9e68-4213d05709da,d691e89a-c264-4795-af99-3198a70f92e6,true
c6c9d9c5-df30-4005-8ffe-38ae587c2d92,7b74555c-4d57-4f3c-96cd-efdb0c5838d9,b7695534-df64-45dd-afde-42d45c11c7a9,true
c8f256df-cf35-4ff4-ba6b-9487117924c6,7cc76eb1-2d29-460a-8d78-fccd2f0326aa,b305f72c-a128-41c8-9ac9-928fcc185ac1,false
272ea080-6c52-4433-a879-74d472580fa8,29162831-a01d-45c1-8777-ab7e8256ac0f,0e76b2d2-effc-4318-be12-b7b58de73a3f,false
2eafbb18-ef0b-4974-8143-a90ccdff2d13,29162831-a01d-45c1-8777-ab7e8256ac0f,44bfe57d-a00e-45ce-b5e4-0034076bcc5a,false
b5931617-af16-4b71-b261-dbe8ea8b1ae9,d24bb691-ad77-48f0-8764-6dc549412761,4f9684f9-2b23-45e3-b84e-6a031815b4fc,true
